"specimen","group","cranial base area","forehead height","glavellar protrusion","malar flattening","mandibular fossa size","facial protrusion","calvarial curevature"
"Amud","NE",NA,2.268883674,0.001154234,1.55693922323415,206.84341903962,NA,2.326463001
"La Chapelle aux Saints 1","NE",44507.1944508189,1.855915908,-0.001039582,2.01450496594035,142.032496281661,-0.519315874,1.950576895
"La Ferrassie 1","NE",55917.5218005101,0.987326945,-0.004460972,1.95797581779663,170.085978258056,0.993047934,1.935292218
"Shanidar 1","NE",47689.7534726115,1.384388497,0.002024487,0.580889599218687,135.466145194104,1.08023477,2.097169326
"Shanidar 2","NE",NA,NA,NA,NA,NA,NA,NA
"Shanidar 5","NE",NA,0.138378342,0.002590208,NA,123.65957946617,NA,1.494012688
"Cesaire","NE",NA,NA,NA,NA,NA,NA,NA
"Saccopastore I","NE",40129.1965924823,0.798310028,NA,NA,NA,-0.162642576,1.689352589
"Saccopastore Ii","NE",NA,NA,NA,1.35271275415485,152.407192559111,NA,NA
"Neanderthal 1","NE",NA,2.36253551,-0.003769028,NA,NA,NA,2.255296898
"Saldanha","Middle Pleistocene Homo",NA,0.87937299,NA,NA,NA,NA,1.500587506
"Bodo","Middle Pleistocene Homo",46372.7350003736,1.647805343,-0.002147203,NA,NA,-0.900268278,1.956019011
"Ternifine 1","Middle Pleistocene Homo",NA,NA,NA,NA,NA,NA,NA
"Ternifine 2","Middle Pleistocene Homo",NA,NA,NA,NA,NA,NA,NA
"Ternifine 3","Middle Pleistocene Homo",NA,NA,NA,NA,NA,NA,NA
"Ternifine 4","Middle Pleistocene Homo",NA,NA,NA,NA,NA,NA,NA
"Xiahe","Middle Pleistocene Homo",NA,NA,NA,NA,NA,NA,NA
"Denisovan","Middle Pleistocene Homo",NA,NA,NA,NA,NA,NA,NA
"Dali","Middle Pleistocene Homo",49560.383402265,1.039013388,-0.004533815,0.179473272577363,193.822565040167,1.074268601,1.665757922
"Hualongdong","Middle Pleistocene Homo",NA,NA,NA,NA,NA,NA,NA
"Harbin","Middle Pleistocene Homo",58729.718464371,1.009733441,-0.000927705,-0.537833780327972,215.678011961697,0.090384432,1.133520371
"Jinniushan","Middle Pleistocene Homo",42812.6193734726,1.026870273,-0.005961757,-0.745126824372432,108.806461636017,0.575748231,1.777431503
"Maba","Middle Pleistocene Homo",NA,1.636336203,NA,NA,NA,NA,1.531272303
"Xuchang","Middle Pleistocene Homo",NA,2.333296191,NA,NA,NA,NA,2.000589826
"KNM-WT 15000","H. erectus",39221.2134837418,NA,NA,NA,154.466059682216,NA,NA
